GO:0006956	GO:0006958	GO:0002252,GO:0002253,GO:0002376,GO:0002682,GO:0002684,GO:0006955,GO:0006956,GO:0006959,GO:0008150,GO:0008152,GO:0019538,GO:0043170,GO:0044238,GO:0048518,GO:0048583,GO:0048584,GO:0050776,GO:0050778,GO:0050789,GO:0050896,GO:0065007,GO:0071704,GO:0072376,
GO:0006956	GO:0038095	GO:0002376,GO:0002682,GO:0006955,GO:0008150,GO:0048583,GO:0050776,GO:0050789,GO:0050896,GO:0065007,
GO:0006956	GO:0038096	GO:0002252,GO:0002253,GO:0002376,GO:0002682,GO:0002684,GO:0006955,GO:0008150,GO:0048518,GO:0048583,GO:0048584,GO:0050776,GO:0050778,GO:0050789,GO:0050896,GO:0065007,
GO:0006956	GO:0045087	GO:0002376,GO:0006955,GO:0008150,GO:0050896,
GO:0006956	GO:0050776	GO:0002376,GO:0002682,GO:0006955,GO:0008150,GO:0048583,GO:0050776,GO:0050789,GO:0050896,GO:0065007,
GO:0006958	GO:0006958	GO:0002250,GO:0002252,GO:0002253,GO:0002376,GO:0002443,GO:0002449,GO:0002455,GO:0002460,GO:0002682,GO:0002684,GO:0006955,GO:0006956,GO:0006958,GO:0006959,GO:0008150,GO:0008152,GO:0016064,GO:0019538,GO:0019724,GO:0043170,GO:0044238,GO:0048518,GO:0048583,GO:0048584,GO:0050776,GO:0050778,GO:0050789,GO:0050896,GO:0065007,GO:0071704,GO:0072376,
GO:0006958	GO:0038095	GO:0002376,GO:0002682,GO:0006955,GO:0008150,GO:0048583,GO:0050776,GO:0050789,GO:0050896,GO:0065007,
GO:0006958	GO:0038096	GO:0002252,GO:0002253,GO:0002376,GO:0002682,GO:0002684,GO:0006955,GO:0008150,GO:0048518,GO:0048583,GO:0048584,GO:0050776,GO:0050778,GO:0050789,GO:0050896,GO:0065007,
GO:0006958	GO:0045087	GO:0002376,GO:0006955,GO:0008150,GO:0050896,
GO:0006958	GO:0050776	GO:0002376,GO:0002682,GO:0006955,GO:0008150,GO:0048583,GO:0050776,GO:0050789,GO:0050896,GO:0065007,
GO:0038095	GO:0038095	GO:0002376,GO:0002682,GO:0002764,GO:0002768,GO:0006955,GO:0007154,GO:0007165,GO:0007166,GO:0008150,GO:0009987,GO:0023052,GO:0038093,GO:0038095,GO:0044699,GO:0044700,GO:0044763,GO:0048583,GO:0050776,GO:0050789,GO:0050794,GO:0050896,GO:0051716,GO:0065007,
GO:0038095	GO:0038096	GO:0002376,GO:0002682,GO:0002764,GO:0002768,GO:0006955,GO:0007154,GO:0007165,GO:0007166,GO:0008150,GO:0009987,GO:0023052,GO:0038093,GO:0044699,GO:0044700,GO:0044763,GO:0048583,GO:0050776,GO:0050789,GO:0050794,GO:0050896,GO:0051716,GO:0065007,
GO:0038095	GO:0045087	GO:0002376,GO:0006955,GO:0008150,GO:0050896,
GO:0038095	GO:0050776	GO:0002376,GO:0002682,GO:0006955,GO:0008150,GO:0048583,GO:0050776,GO:0050789,GO:0050896,GO:0065007,
GO:0038096	GO:0038096	GO:0002252,GO:0002253,GO:0002376,GO:0002429,GO:0002431,GO:0002433,GO:0002682,GO:0002684,GO:0002757,GO:0002764,GO:0002768,GO:0006810,GO:0006897,GO:0006909,GO:0006955,GO:0007154,GO:0007165,GO:0007166,GO:0008150,GO:0009987,GO:0016192,GO:0023052,GO:0038093,GO:0038094,GO:0038096,GO:0044699,GO:0044700,GO:0044763,GO:0044765,GO:0048518,GO:0048583,GO:0048584,GO:0050776,GO:0050778,GO:0050789,GO:0050794,GO:0050896,GO:0051179,GO:0051234,GO:0051716,GO:0065007,GO:1902578,
GO:0038096	GO:0045087	GO:0002376,GO:0006955,GO:0008150,GO:0050896,
GO:0038096	GO:0050776	GO:0002376,GO:0002682,GO:0006955,GO:0008150,GO:0048583,GO:0050776,GO:0050789,GO:0050896,GO:0065007,
GO:0045087	GO:0045087	GO:0002376,GO:0006950,GO:0006952,GO:0006955,GO:0008150,GO:0045087,GO:0050896,
GO:0045087	GO:0050776	GO:0002376,GO:0006955,GO:0008150,GO:0050896,
GO:0050776	GO:0050776	GO:0002376,GO:0002682,GO:0006955,GO:0008150,GO:0048583,GO:0050776,GO:0050789,GO:0050896,GO:0065007,
